	geneid	sampleid	prob
0	A1BG	TCGA-06-5411	0.8333333333333334
1	A1BG	TCGA-19-0957	0.23529411764705882
2	A1BG	TCGA-19-5956	0.2857142857142857
3	A1CF	TCGA-14-0813	0.19230769230769232
4	A1CF	TCGA-14-1794	0.1951219512195122
5	A1CF	TCGA-19-5956	0.8571428571428571
6	A1CF	TCGA-28-1760	0.1875
7	A2M	TCGA-06-5416	0.5639097744360902
8	A2M	TCGA-06-6695	0.8571428571428571
9	A2M	TCGA-12-3651	0.45614035087719296
10	A2M	TCGA-41-2573	0.4
11	A2M	TCGA-76-6191	0.7912087912087912
12	A2ML1	TCGA-06-2566	0.12293144208037825
13	A2ML1	TCGA-06-5416	0.978328173374613
14	A2ML1	TCGA-14-1794	0.08450704225352113
15	A2ML1	TCGA-19-1787	0.17164179104477612
16	A2ML1	TCGA-19-5956	0.373134328358209
17	A4GALT	TCGA-16-0848	0.6184738955823293
18	A4GNT	TCGA-06-1087	0.12290502793296089
19	A4GNT	TCGA-06-1805	0.11347517730496454
20	A4GNT	TCGA-06-5416	0.32195121951219513
21	A4GNT	TCGA-19-5956	0.42105263157894735
22	AAAS	TCGA-12-3644	0.17937219730941703
23	AACS	TCGA-06-2566	0.06329113924050633
24	AACS	TCGA-14-1825	0.660377358490566
25	AACS	TCGA-16-0849	0.18991097922848665
26	AACS	TCGA-16-1460	0.08178438661710037
27	AACSP1	TCGA-06-0743	0.6153846153846154
28	AADAC	TCGA-28-1757	0.0855614973262032
29	AADACL2	TCGA-06-0879	0.6620689655172414
30	AADACL2	TCGA-06-5416	0.4620253164556962
31	AADACL2	TCGA-28-5213	0.4
32	AADACL2	TCGA-32-1979	0.4444444444444444
33	AADACL2-AS1	TCGA-19-5956	0.8421052631578947
34	AADACL3	TCGA-06-5416	0.9032258064516129
35	AADACL3	TCGA-14-0812	0.6923076923076923
36	AADACL3	TCGA-76-6282	0.6371681415929203
37	AADACL4	TCGA-06-0129	0.925764192139738
38	AADACL4	TCGA-12-0829	0.49142857142857144
39	AADACL4	TCGA-19-1388	0.35447761194029853
40	AADACL4	TCGA-76-4935	0.6709677419354839
41	AADAT	TCGA-06-5416	0.6459627329192547
42	AADAT	TCGA-14-1458	0.1319796954314721
43	AADAT	TCGA-28-1751	0.14388489208633093
44	AAED1	TCGA-14-4157	0.8307692307692308
45	AAED1	TCGA-19-1788	0.5882352941176471
46	AAGAB	TCGA-06-5416	0.9090909090909091
47	AAK1	TCGA-28-2506	0.24427480916030533
48	AAK1	TCGA-32-2495	0.8536585365853658
49	AAMDC	TCGA-74-6578	0.7295597484276729
50	AAMP	TCGA-06-1800	0.45454545454545453
51	AAMP	TCGA-12-0828	0.23140495867768596
